,transcript,user_action
1224,make the lighting brighter in the living room,IncreaseBrightness
1225,make the lighting more intense in the bathroom,IncreaseBrightness
1226,make the lights a little brighter in the laundry room,IncreaseBrightness
1227,make the lights blue,SetLightColor
1228,make the lights glue,SetLightColor
1229,can you decrease the brightness of the lightbolt,DecreaseBrightness
1230,make the lights blue,SetLightColor
1231,make the lights brighter,IncreaseBrightness
1232,make the lights brighter in the studio,IncreaseBrightness
1233,make the lights brighter,IncreaseBrightness
1234,make a light stimmer please,DecreaseBrightness
1235,make the lights five,SetLightBrightness
1236,make the lights go on,SwitchLightOn
1237,make the lights green,SetLightColor
1238,make the lights green please,SetLightColor
1239,make the lights in the bedroom less bright,DecreaseBrightness
1240,can you decrease the light intensity,DecreaseBrightness
1241,make the livhes in the cellar at the too brightness,SetLightBrightness
1242,make de lights seem to get it to thirty ninth louse,SetLightBrightness
1243,make the lights in the house brighter,IncreaseBrightness
1244,make the lights in the kid's room ten,SetLightBrightness
1245,make the light in the kitchsbedroom green,SetLightColor
1246,make the lights in the room lower,DecreaseBrightness
1247,make the lights in the studio to be at twelve,SetLightBrightness
1248,make the lights in the toilets brighter,IncreaseBrightness
1249,make the lights less bright,DecreaseBrightness
1250,can you gine the lights in the lounge,DecreaseBrightness
1251,make the lights lass bright,DecreaseBrightness
1252,make the lights more bright,IncreaseBrightness
1253,make the lights more bright in the bedroom,IncreaseBrightness
1254,make the lights not shine any more,SwitchLightOff
1255,make the light spink,SetLightColor
1256,make the late pink,SetLightColor
1257,make the lights red,SetLightColor
1258,make the lage thacolor read,SetLightColor
1259,make the lights turn off,SwitchLightOff
1260,make o light turn off in the waiting room,SwitchLightOff
1261,can you increase the brightness of the lights in the bedroom,IncreaseBrightness
1262,make the late sturn on,SwitchLightOn
1263,make the living room dimmer,DecreaseBrightness
1264,make the living room like dimon,DecreaseBrightness
1265,make the lounge twenty two,SetLightBrightness
1266,make a meeting room late fifte,SetLightBrightness
1267,make the pantry five per cent in brightness,SetLightBrightness
1268,make the pantry lights to twelve,SetLightBrightness
1269,make the patio brighter,IncreaseBrightness
1270,make the room a bit darker,DecreaseBrightness
1271,make the room brighter,IncreaseBrightness
1272,at just brightness to fifteen,SetLightBrightness
1273,can you increase the brightness,IncreaseBrightness
1274,make the studio lighting to be at the twelve setting,SetLightBrightness
1275,make the studio light of,SwitchLightOff
1276,make the toilet's green lights,SetLightColor
1277,make twenty two the brightness steady,SetLightBrightness
1278,may you change the like bin please,SetLightColor
1279,more light please,IncreaseBrightness
1280,more lights pace,IncreaseBrightness
1281,mold e right maserping in the diming roombul fire,SetLightBrightness
1282,my bedroom needs to be darker,DecreaseBrightness
1283,no more lights in the garden,SwitchLightOff
1284,can unicly the latening levellyin the studio,IncreaseBrightness
1285,ok aluxta cut out flights in the pantry,SwitchLightOff
1286,o khe gugle turn off light an entire flat,SwitchLightOff
1287,o k gugle turn off lights,SwitchLightOff
1288,once you enter the laundry room turn on the lights,SwitchLightOn
1289,please turn on the light,SwitchLightOn
1290,placed the cellarlights in the off position,SwitchLightOff
1291,placed the lighting on level twenty two in the crucible,SetLightBrightness
1292,please activate the lights,SwitchLightOn
1293,please just the cubical light so it's brighter,IncreaseBrightness
1294,please adjust the light brightness to go lower please,DecreaseBrightness
1295,can you light up the basement a bit more,IncreaseBrightness
1296,please adjust the light bulbs to twelve,SetLightBrightness
1297,pleased brightened the lights in the meeting room,IncreaseBrightness
1298,please change entrance lights to blue,SetLightColor
1299,please change the lights to read and sniks,SetLightColor
1300,please change the brightness in the room,DecreaseBrightness
1301,cleas changed the brightness level in parking area to twenty,SetLightBrightness
1302,please change the brightness level in the back yard to fifty,SetLightBrightness
1303,please chain the color in the large meeting room to pink,SetLightColor
1304,please jane the corar of the light thred,SetLightColor
1305,please change the color to pink,SetLightColor
1306,can you make it a tead brighter please,IncreaseBrightness
1307,please change the collus to read in the bathroom,SetLightColor
1308,please changed a light color in the kitchen to blue,SetLightColor
1309,lease change the lighting to twelve in the shed,SetLightBrightness
1310,please change the lights green,SetLightColor
1311,please jane the likes in them waiting room for get inpits,SetLightColor
1312,please change lights to read in the cellar,SetLightColor
1313,face changed the lights to red,SetLightColor
1314,please change the lights to twenty two in the house,SetLightBrightness
1315,pleasta an the living room liht stured,SetLightColor
1316,ple's cut off all light,SwitchLightOff
1317,can you make it brighter inside,IncreaseBrightness
1318,please decrease the brightness,DecreaseBrightness
1319,please decrease the brightness,DecreaseBrightness
1320,please dim lights,DecreaseBrightness
1321,please demn the lights,DecreaseBrightness
1322,lease plick the lights on,SwitchLightOn
1323,please get rid of the lights,SwitchLightOff
1324,please get the lights off,SwitchLightOff
1325,please go on and increase the brightness,IncreaseBrightness
1326,please have the waiting room be less bright,DecreaseBrightness
1327,please incrase lights,IncreaseBrightness
1328,can you make it dimmer and her,DecreaseBrightness
1329,please increase the brightness of the lights,IncreaseBrightness
1330,please increase the brightness of the lights in the kids room,IncreaseBrightness
1331,please increase the brightness of the lights in the small meeting room,IncreaseBrightness
1332,please increase the braveness of the late,IncreaseBrightness
1333,please increase the garagelight,IncreaseBrightness
1334,please increase the loating,IncreaseBrightness
1335,please increased delights in the office,IncreaseBrightness
1336,hes lo er the brightness for me,DecreaseBrightness
1337,please lower the lights in the room,DecreaseBrightness
1338,please lower the light,DecreaseBrightness
1339,can you make the bedroom lights go up,IncreaseBrightness
1340,please make it brighter,IncreaseBrightness
1341,please make bocoler red,SetLightColor
1342,please make te entine flat blue,SetLightColor
1343,please make the flat room blue,SetLightColor
1344,please make the light lieu,SetLightColor
1345,please make to light red,SetLightColor
1346,please make the lights brighter,IncreaseBrightness
1347,please make the late green,SetLightColor
1348,please make the light screen in the dining room,SetLightColor
1349,please make the lates pink,SetLightColor
1350,can you make the brightness twelfe,SetLightBrightness
1351,please make delights pink in my bedroom,SetLightColor
1352,please make the vestibule lighting to be at twelve,SetLightBrightness
1353,please put off the panpulates,SwitchLightOff
1354,please set it to five,SetLightBrightness
1355,hese said lounch brightness at twenty to wesn't,SetLightBrightness
1356,he said the night nat ler to figt,SetLightBrightness
1357,please said the brightness to five persent,SetLightBrightness
1358,pleased at the light brightnness level of basement to thirty nine,SetLightBrightness
1359,he sert the liged welvs to champ,SetLightBrightness
1360,please set the office lights down,DecreaseBrightness
1361,can you make the lights blue,SetLightColor
1362,please set the office to twenty two for the intensity,SetLightBrightness
1363,please set the studio to level too for the light intensity,SetLightBrightness
1364,please set the toilet lighting to two,SetLightBrightness
1365,she said the toilet's room like to too,SetLightBrightness
1366,please shut off the lighting,SwitchLightOff
1367,clease shut off the lights above the toilet,SwitchLightOff
1368,please shut off the lights,SwitchLightOff
1369,please stop the lights,SwitchLightOff
1370,pre switch my lights on now,SwitchLightOn
1371,pleas switch on the lights for the facilities,SwitchLightOn
1372,can you make the late breake,IncreaseBrightness
1373,please whitch on my cubical life,SwitchLightOn
1374,please return the lights,SwitchLightOn
1375,please reach the color of the light to be red pleased,SetLightColor
1376,rac switch to pink liding,SetLightColor
1377,please to the green lade,SetLightColor
1378,lease turn down the brightness,SwitchLightOff
1379,please turn down the light intensity,DecreaseBrightness
1380,please turn down the lights,DecreaseBrightness
1381,please turn down the lights and the entrance area,DecreaseBrightness
1382,please turn down the lights in the pantry,DecreaseBrightness
1383,i've just a bedroom rightnest level to seventy three,SetLightBrightness
1384,can you make the lights dimmer in the living room,DecreaseBrightness
1385,please turn lights read in large meeting room,SetLightColor
1386,please turn lights up,IncreaseBrightness
1387,please turn my lighton,SwitchLightOn
1388,please don't off on light,SwitchLightOff
1389,please turn off all delights,SwitchLightOff
1390,please turn off the sellar likes,SwitchLightOff
1391,pleased turn off the lighting,SwitchLightOff
1392,please tur not the lighting,SwitchLightOff
1393,please turn off the lights in the bedroom,SwitchLightOff
1394,please turn off the lites in the bedroom,SwitchLightOff
1395,can you make the lights green in the basement,SetLightColor
1396,these turn of the lights in the vestigule,SwitchLightOff
1397,he's turt enough the lights in this room,SwitchLightOff
1398,please dont off the light,SwitchLightOff
1399,please tern of their tylad slates,SwitchLightOff
1400,he turn on my parking lights,SwitchLightOn
1401,please turn on the lights,SwitchLightOn
1402,ease turn on the lights and the entrance,SwitchLightOn
1403,leas ston on the leaving room lights,SwitchLightOn
1404,please turned down the brightness of the light wolves just a bed i,DecreaseBrightness
1405,please turn the brightness up,IncreaseBrightness
1406,can you make the lights green,SetLightColor
1407,please turn the sellalite to thirty nine,SetLightBrightness
1408,these turned the kid's room brightness to fifty,SetLightBrightness
1409,please turn the kitchen lights on,SwitchLightOn
1410,please turn the light on for mou,SwitchLightOn
1411,please turn the lights down,DecreaseBrightness
1412,please turn the lights down in the waiting room,DecreaseBrightness
1413,please turn the lights down to a lower setting in the living room,DecreaseBrightness
1414,he turned the lightstone,DecreaseBrightness
1415,please turn the lights off,SwitchLightOff
1416,please tand the ladsov in the garden,SwitchLightOff
1417,can you make delights in the office green,SetLightColor
1418,cles turn the lights off in this rome,SwitchLightOff
1419,please turn the living rom ligts to twelve,SetLightBrightness
1420,please turn the pattio lights up for me,IncreaseBrightness
1421,please turn up lights in apartment,IncreaseBrightness
1422,turn up the lighting in the toilets,IncreaseBrightness
1423,please ton of the lats a bit more,IncreaseBrightness
1424,please turn up the lights,IncreaseBrightness
1425,please decrease the brightness,DecreaseBrightness
1426,please set the brightness of the lightbolt to seventy three,SetLightBrightness
1427,power on the lamps,SwitchLightOn
1428,can you made it outsi li green,SetLightColor
1429,pawaran de lampe in the toilets,SwitchLightOn
1430,power on the light,SwitchLightOn
1431,haron lights in the bedroom,SwitchLightOn
1432,power on the office lamps,SwitchLightOn
1433,how are the cupical lamps to ten,SetLightBrightness
1434,harl the lamps to two per cent,SetLightBrightness
1435,paword the office lights,SwitchLightOn
1436,put bathrem brightness to fifty,SetLightBrightness
1437,pud like an in higher intentiou be pleased,IncreaseBrightness
1438,foot lates too blue,SetLightColor
1439,you please brighten this room up a bit,IncreaseBrightness
1440,put on the lights in the cella at two per cent,SetLightBrightness
1441,poot parking likes at level dwell,SetLightBrightness
1442,wuld the bightnessinless sere that col be,SetLightBrightness
1443,put the cellar lights to aff,SwitchLightOff
1444,put the kid's bedroom lights on twelve,SetLightBrightness
1445,put the lighting to level ten,SetLightBrightness
1446,put the lights in the living room at level thirty nine,SetLightBrightness
1447,wup their lives in the matingrom puswin,SetLightBrightness
1448,put the lights off in the bedroom,SwitchLightOff
1449,put the lights on,SwitchLightOn
1450,and who pleased you the about room lage to ta colivered,SetLightColor
1451,put the lights on please,SwitchLightOn
1452,put the lights to twelve per cent in the bathroom,SetLightBrightness
1453,put the lice to two in the back yard,SetLightBrightness
1454,put the parking brightness at twenty,SetLightBrightness
1455,quickly put on the lights in the dining room as i am very hungry,SwitchLightOn
1456,raise the lights in the changing room,IncreaseBrightness
1457,raise the lights and the laderu,IncreaseBrightness
1458,reduce basement brightness to two per set,SetLightBrightness
1459,duce brightness,DecreaseBrightness
1460,reduce brightness to fiftee in the house,SetLightBrightness
1461,the studio lights need to be increased,IncreaseBrightness
1462,the toilet light should be blue,SetLightColor
1463,and he said the likness to enter to a forthen badhouse,SetLightBrightness
1464,the toilets should have green lighting,SetLightColor
1465,there is too much light in here,DecreaseBrightness
1466,there is too much light in the bedroom,DecreaseBrightness
1467,throughout the house turn up the light power,IncreaseBrightness
1468,toned down the brightness in the laundry room,DecreaseBrightness
1469,ton'e all lighting on,SwitchLightOn
1470,turnal likes them please,DecreaseBrightness
1471,turn back yard lights off,SwitchLightOff
1472,turn basement like its on please,SwitchLightOn
1473,turn basement lade to pink,SetLightColor
1474,can he set to cell of roome to seventy three,SetLightBrightness
1475,don bedrom ladself a,SwitchLightOff
1476,turn brightness down in bedroom,DecreaseBrightness
1477,turn down bedroom lights,DecreaseBrightness
1478,turned down lights in a trire apartment,DecreaseBrightness
1479,turned down the basement lights,DecreaseBrightness
1480,turned down the brightness,DecreaseBrightness
1481,turn down the brightness for me,DecreaseBrightness
1482,turned out the brightness to the loingery room,DecreaseBrightness
1483,turned down the brightness of the lighting,DecreaseBrightness
1484,dand on the breatness please,DecreaseBrightness
1485,can ye set the kid's room light to five,SetLightBrightness
1486,turned down the light in the bedroom,DecreaseBrightness
1487,turn down the light lun de loo,DecreaseBrightness
1488,turned down the light intensity in the dining room,DecreaseBrightness
1489,turn down the light power all the way,SwitchLightOff
1490,turned down the light power in the pantry all the way,SwitchLightOff
1491,turned down the lighting in the kitceh bedroom,DecreaseBrightness
1492,turn down the lights,DecreaseBrightness
1493,turn down the lights a bit,DecreaseBrightness
1494,can you please change the brightness in the kid's room to twenty two,SetLightBrightness
1495,reduce the brightness in my bedroom as i am going to sleep,DecreaseBrightness
1496,reduce the brightness in the bedroom please,DecreaseBrightness
1497,reduced the light brightness in the backyard to level ten,SetLightBrightness
1498,select pink light color,SetLightColor
1499,set all lamps to level thirty nine in the studio,SetLightBrightness
1500,set all lamps to too in the laundry room,SetLightBrightness
1501,said brightness in pantry to seventy three persons,SetLightBrightness
1502,set brightness to twenty pleas,SetLightBrightness
1503,set cellar lights to fifty,SetLightBrightness
1504,set light color to blue,SetLightColor
1505,can you please change the brightness in the lounge to thirty nine,SetLightBrightness
1506,sat lights to green,SetLightColor
1507,set lights to level thirty nine,SetLightBrightness
1508,set lights to lever twenty two,SetLightBrightness
1509,setligtes to off,SwitchLightOff
1510,set lights to twenty two per cent the basement,SetLightBrightness
1511,set all lights to two in the perking room place,SetLightBrightness
1512,fept leaving room bright leven to twenty two,SetLightBrightness
1513,sad labbet blombe winte do for baglers,SetLightBrightness
1514,set the basement lights to two,SetLightBrightness
1515,set about in lights to the on position,SwitchLightOn
1516,can you please change the color to blue,SetLightColor
1517,fed the badroom lights to two for britness,SetLightBrightness
1518,set the brightness in the bathroom at levell twall,SetLightBrightness
1519,said the brightness in the bedroom to twenty two,SetLightBrightness
1520,set the brightness in the kid's room to level twenty two,SetLightBrightness
1521,sed the brightness in the living room to ten,SetLightBrightness
1522,set them bright this level of light to twenty,SetLightBrightness
1523,sot the brightness level to seventy three,SetLightBrightness
1524,set the brightness of the lightwolbs to fifty,SetLightBrightness
1525,set the brightness of the light bulbs to fifty,SetLightBrightness
1526,seid pabratnas to fifty,SetLightBrightness
1527,turn down the lights in here,DecreaseBrightness
1528,turned down the lights and the basement,DecreaseBrightness
1529,can you set the meeting room to be a pink hue,SetLightColor
1530,turn down the lights in the bedroom,DecreaseBrightness
1531,turn down the lights in thecella,DecreaseBrightness
1532,turned down the lights in the changing room,DecreaseBrightness
1533,turn down the lights in the kitchen,DecreaseBrightness
1534,turned and the light in the large meeting rome,SwitchLightOff
1535,turned down the lights in to toilet room,DecreaseBrightness
1536,turned down the lights in the waiting room,DecreaseBrightness
1537,turned down the lights one knotck,DecreaseBrightness
1538,don don the lades please,SwitchLightOff
1539,don on the labes,DecreaseBrightness
1540,can you shut off the house lights,SwitchLightOff
1541,turn light on in toilet rom,SwitchLightOn
1542,turn lating read,SetLightColor
1543,turn late in the laundry room breiter,IncreaseBrightness
1544,turn on my lights everywhere please,SwitchLightOn
1545,turn light on in the waiting room,SwitchLightOn
1546,turn lights on over the toilet,SwitchLightOn
1547,turn lights to green,SetLightColor
1548,turn living room lights to red,SetLightColor
1549,don't meeting room lights off,SwitchLightOff
1550,turn on my living roemlightfles,SwitchLightOn
1551,can you shet the lights off at the entrance,SwitchLightOff
1552,turn off all the lamps,SwitchLightOff
1553,turn off lights,SwitchLightOff
1554,turn off my bedroom lights please,SwitchLightOff
1555,ell nor's barking late,SwitchLightOff
1556,ten after bottrom late,SwitchLightOff
1557,dawn after celar plats,SwitchLightOff
1558,turn off the light power,SwitchLightOff
1559,turn off the lighting,SwitchLightOff
1560,turn off phelites,SwitchLightOff
1561,turn off the lights,SwitchLightOff
1562,can you stop the lighting,SwitchLightOff
1563,turn off the lights at four thirty p m,SwitchLightOff
1564,turn off the lights for me,SwitchLightOff
1565,don't know the lights for the leading room,SwitchLightOff
1566,turn off the lights in five minutes,SwitchLightOff
1567,turn off to lights in the basement,SwitchLightOff
1568,turn off the lights in the bathroom,SwitchLightOff
1569,turn off the lights in the bedroom,SwitchLightOff
1570,turn off the lights in the bedroom,SwitchLightOff
1571,tenolf telictin the tarreflect,SwitchLightOff
1572,ton off the light in their drancs,SwitchLightOff
1573,can you switch on my apartment lights,SwitchLightOn
1574,turn off the lights in the kitchen,SwitchLightOff
1575,turn off the lights in a living arom,SwitchLightOff
1576,turn up the lights in the toilets,SwitchLightOff
1577,turn off the light in this room,SwitchLightOff
1578,turn off the light smell,SwitchLightOff
1579,turnou lights to the basement,SwitchLightOff
1580,turn off the lights to the toilets,SwitchLightOff
1581,turn o folt the lanwage like,SwitchLightOff
1582,danovtha bydi lates,SwitchLightOff
1583,turn off the toiletlights,SwitchLightOff
1584,adjust of brightness in the lew to fifty,SetLightBrightness
1585,and he switched the lights on for my entire house,SwitchLightOn
1586,turn on all the lights in the entire house,SwitchLightOn
1587,turn on bedroom late,SwitchLightOn
1588,turn on garoge light,SwitchLightOn
1589,turn on lights above the toilet,SwitchLightOn
1590,turn on lives in the backyards,SwitchLightOn
1591,turn on lights into cellar,SwitchLightOn
1592,dont on leaving room lights,SwitchLightOn
1593,tut on my lights now,SwitchLightOn
1594,tn are my pettyolights please,SwitchLightOn
1595,turn on red light,SetLightColor
1596,can you swiz the lights to dakalot gren plice,SetLightColor
1597,turn on the batroom lights,SwitchLightOn
1598,turn on the bedroom light,SwitchLightOn
1599,turn on the changing room lights,SwitchLightOn
1600,turned on the entrance lights,SwitchLightOn
1601,turn on the laundry room waiting,SwitchLightOn
1602,turn on te lights,SwitchLightOn
1603,turn on the lights above the toilet,SwitchLightOn
1604,turn on the light in the bathroom,SwitchLightOn
1605,urn on the lights in the bedroom,SwitchLightOn
1606,turn on the lights in the changing room,SwitchLightOn
1607,can you ton down the light,DecreaseBrightness
1608,turn er light in the entrans,SwitchLightOn
1609,turn on the light in the kids room,SwitchLightOn
1610,turn on the lights in the laundry ro,SwitchLightOn
1611,turn on the lights an the waiting room,SwitchLightOn
1612,turon the light please,SwitchLightOn
1613,turn on the light,SwitchLightOn
1614,turn on the office lighting,SwitchLightOn
1615,turn on the office lights,SwitchLightOn
1616,turn on the pantry light,SwitchLightOn
1617,turned the spotlight in the room,SwitchLightOn
1618,can you turn off the sella lites,SwitchLightOff
1619,turn on the tollet lights,SwitchLightOn
1620,turn out the cellar lights,SwitchLightOff
1621,turn parking light setting to off,SwitchLightOff
1622,turn studio lights on,SwitchLightOn
1623,turn the backyard lights pink,SetLightColor
1624,turn the basement line to see te ten,SetLightBrightness
1625,turn the basement lats down,DecreaseBrightness
1626,throun the bedroom light a,SwitchLightOff
1627,turn the bedroom light to seventy three,SetLightBrightness
1628,turn the bedroom lights on,SwitchLightOn
1629,can you turn off the light in the toilet,SwitchLightOff
1630,turn the bedroom to twenty,SetLightBrightness
1631,tan the bratness done,DecreaseBrightness
1632,turn the brightness down in the loping room,DecreaseBrightness
1633,turn the brightness down in the toilet room,DecreaseBrightness
1634,turn the brightness in the flat to two,SetLightBrightness
1635,turn the brightness to level twelve,SetLightBrightness
1636,turn the brightness to thirty nine per cent,SetLightBrightness
1637,turn the brightness up in the basement,IncreaseBrightness
1638,turne the bold brightness down,DecreaseBrightness
1639,turn the bulbs on briter everywhere,IncreaseBrightness
1640,can you turk off your lits,SwitchLightOff
1641,turned the sella lights to twelve forset,SetLightBrightness
1642,turn the cellar lights to fifty per cet,SetLightBrightness
1643,and turned the changing ri lights ong,SwitchLightOff
1644,turn the changing room lights to ten per cent,SetLightBrightness
1645,turn the cubical lights to level ten,SetLightBrightness
1646,turne the entrance lights on,SwitchLightOn
1647,turn the entrance lights on,SwitchLightOn
1648,turn the flat light to twelve,SetLightBrightness
1649,turn the flat room off,SwitchLightOff
1650,turn the garden light up a notch,IncreaseBrightness
1651,get it out of the lights for the node room,SwitchLightOff
1652,turn the kid's bedroom lit read,SetLightColor
1653,turn the kitchen lights green,SetLightColor
1654,don the kitchen lates on breto,IncreaseBrightness
1655,turn the large meeting room green,SetLightColor
1656,turn the laundry room lights to twenty two,SetLightBrightness
1657,don't the light intensity to level thirty nine,SetLightBrightness
1658,turned the late on,SwitchLightOn
1659,turn the light on in the bedroom,SwitchLightOn
